Size       Average Case (ms)
100000     14             
200000     20             
300000     32             
400000     42             
500000     55             
600000     69             
700000     76             
800000     90             
900000     97             
1000000    109            
1100000    122            
1200000    132            
1300000    138            
1400000    155            
1500000    168            
1600000    177            
1700000    185            
1800000    197            
1900000    209            
2000000    220            
2100000    229            
2200000    249            
2300000    256            
2400000    269            
2500000    281  
