Wrost case 
Array Size | Time (ms)
-----------------------
      1000 |        0
      2000 |        1
      3000 |        3
      4000 |        3
      5000 |        5
      6000 |        8
      7000 |       11
      8000 |       20
      9000 |       24
     10000 |       22
     11000 |       26
     12000 |       32
     13000 |       38
     14000 |       45
     15000 |       50

Average  case
Array Size | Time (ms)
-----------------------
     50000 |        5
    100000 |        6
    150000 |        9
    200000 |       13
    250000 |       16
    300000 |       19
    350000 |       22
    400000 |       35
    450000 |       30
    500000 |       36
    550000 |       39
    600000 |       38
    650000 |       42
    700000 |       45
    750000 |       48
    800000 |       55
    850000 |       55
    900000 |       59
    950000 |       62
   1000000 |       66
